aaba,1=阿爸
ruld,1=如来
rulp,1=入列
rulq,1=入流
rulu,1=人生路不熟
ruma,1=辱骂
rumf,1=入门
rumg,1=如梦
rumi,1=入迷
rumk,1=乳名
rumm,1=入眠
rumo,1=辱没
rumu,1=乳母
rune,1=嬬
rung,1=如能
runk,1=如
runl,1=乳娘
runq,1=乳牛
runw,1=入内
rupb,1=乳品
rupc,1=褥
rupe,1=襦
rupn,1=入
rupv,1=乳
ruqb,1=入侵
ruqi,1=如期
ruqt,1=弱势群体
rure,1=儒
rurh,1=人山人海
rurm,1=人生如梦
ruro,1=如若
rurq,1=人生如棋
rusc,1=缛
rusg,1=日上三竿
rusi,1=如斯
ruso,1=如梭
rusr,1=乳酸
rusu,1=如上所述
rutg,1=人是铁饭是钢
ruti,1=如题
ruts,1=如同
rutu,1=如图
rutz,1=乳头
ruuf,1=惹是生非
ruug,1=儒生
ruuh,1=如上
ruui,1=入市
ruuu,1=如数
ruuv,1=入睡
ruuz,1=入手
ruvc,1=乳罩
ruvf,1=如释重负
ruvh,1=入账
ruvi,1=入职
ruvu,1=入住
ruvv,1=入赘
ruwg,1=人谁无过
ruwh,1=入网
ruwu,1=入伍
ruww,1=入围
ruxi,1=入戏
ruxm,1=乳腺
ruxr,1=入选
ruxu,1=如需
ruxx,1=如下
ruya,1=儒雅
ruyi,1=如意
ruyj,1=如烟
ruyl,1=日晒雨淋
ruyr,1=如愿
ruys,1=如用
ruyt,1=如约
ruyv,1=人是衣妆
ruyy,1=如云
ruyz,1=如有
ruze,1=孺
ruzi,1=褥子
ruzo,1=入座
ruzu,1=人生在世
rvci,1=肉中刺
rvcn,1=芮
rvcq,1=任重才轻
rvcu,1=蕤
rvcx,1=蕊
rvdg,1=柔中带刚
rvdm,1=瑞典
rvdn,1=汭
rvdy,1=任重道远
rvey,1=任重而道远
rvhx,1=锐化
rvin,1=蚋
rviq,1=人之常情
rviu,1=人之初，性本善
rvje,1=锐
rvjm,1=锐减
rvjn,1=锐角
rvjr,1=仁者见仁
rvjs,1=人之将死
rvju,1=人之将死，其言也善
rvli,1=锐利
rvlo,1=睿
rvls,1=热胀冷缩
rvlu,1=软着陆
rvmn,1=枘
rvqi,1=锐气
rvrz,1=绕指柔
rvui,1=瑞士
rvvi,1=睿智
rvvl,1=人中之龙
rvwe,1=瑞
rvwm,1=日臻完美
rvwu,1=日臻完善
rvxt,1=瑞雪
rvyi,1=锐意
rvyj,1=仁至义尽
rvyu,1=仁者乐山
rwcs,1=人为财死
rwdl,1=人文地理
rwdr,1=人为刀俎，我为鱼肉
rwgl,1=人往高处走，水往低处流
rwkr,1=忍无可忍
rwlj,1=任务栏
rwqu,1=若无其事
rwrl,1=人五人六
rwwr,1=人无完人
rwxu,1=润物细无声
rwyq,1=人微言轻
rwyr,1=人外有人
rwyt,1=融为一体
rwyy,1=人无远虑，必有近忧
rwzi,1=绕弯子
rxbg,1=人心不古
rxbx,1=人心不足蛇吞象
rxdc,1=人行道
rxft,1=热血沸腾
rxgd,1=人小鬼大
rxgp,1=人心隔肚皮
rxhd,1=人行横道
rxhh,1=人心惶惶
rxhx,1=人性化
rxnc,1=人心难测
rxql,1=日行千里
rxqy,1=人心齐泰山移
rxrg,1=柔心弱骨
rxru,1=仁心仁术
rxss,1=入乡随俗
rxsx,1=人心所向
rxun,1=任贤使能
rxvn,1=瑞雪兆丰年
rxwg,1=乳臭未干
rxxb,1=人心向背
rxyy,1=日新月异
rybi,1=润笔
rycl,1=日夜操劳
ryct,1=日月蹉跎
rydd,1=仁义道德
rydf,1=人有旦夕祸福
rydu,1=如鱼得水
rydw,1=润
ryev,1=如约而至
ryfq,1=饶有风趣
ryft,1=肉眼凡胎
ryfu,1=润肤
rygh,1=日月光华
ryhl,1=人欲横流
ryhx,1=润滑
ryji,1=日夜兼程
ryjq,1=锐意进取
ryju,1=软硬兼施
ryjx,1=如意吉祥
ryjy,1=日以继夜
rykw,1=人言可畏
rylx,1=仁义礼智信
rymf,1=人仰马翻
rymw,1=闰
rynm,1=闰年
rypb,1=日用品
ryqf,1=人以群分
ryqq,1=任意球
ryrf,1=忍一忍
ryrs,1=日月如梭
ryrv,1=若要人不知
ryrw,1=若有若无
ryrx,1=若隐若现
ryse,1=润色
rysj,1=人有三急
rysm,1=日有所思，夜有所梦
rysp,1=如意算盘
ryss,1=若有所思
rysu,1=若有所失
rysx,1=如影随形
ryti,1=日益突出
rytj,1=日月潭
ryui,1=润湿
ryvi,1=如蝇逐臭
rywh,1=容易忘
rywu,1=如烟往事
rywx,1=软玉温香
ryxi,1=日月星辰
ryxq,1=饶有兴趣
ryxu,1=人烟稀少
ryxv,1=饶有兴致
ryyi,1=如愿以偿
ryyt,1=闰月
ryyv,1=日益严重
ryyy,1=人云亦云
ryze,1=润泽
rzbc,1=肉包
rzbk,1=肉饼
rzbo,1=肉搏
rzco,1=揉搓
rzdc,1=柔道
rzdj,1=肉弹
rzdm,1=人走灯灭
rzfm,1=揉
rzgj,1=肉感
rzgm,1=鞣
rzgz,1=认祖归宗
rzhe,1=柔和
rzhx,1=柔滑
rzif,1=如坐春风
rzig,1=揉成
rzih,1=柔肠
rzil,1=人走茶凉
rzim,1=𫐓
rzjh,1=人赃俱获
rzji,1=肉鸡
rzjj,1=人在江湖，身不由己
rzkj,1=孺子可教
rzlb,1=蹂躏
rzlq,1=肉瘤
rzlw,1=肉类
rzma,1=肉麻
rzmm,1=揉面
rzmw,1=柔美
rznf,1=柔嫩
rznp,1=揉捏
rznq,1=孺子牛
rznr,1=肉
rzpi,1=肉皮
rzpm,1=肉片
rzqb,1=肉禽
rzqk,1=柔情
rzrf,1=柔韧
rzro,1=柔弱
rzrr,1=柔软
rzrz,1=揉揉
rzse,1=肉色
rzsi,1=肉丝
rzsm,1=柔
rzss,1=肉松
rzsv,1=揉碎
rzth,1=肉汤
rzti,1=肉体
rzuf,1=肉身
rzui,1=肉食
rzuy,1=柔顺
rzve,1=揉着
rzvi,1=肉质
rzvv,1=如坐针毡
rzwj,1=肉丸
rzwt,1=人在屋檐下，不得不低头
rzwx,1=人在屋檐下
rzxk,1=柔性
rzxm,1=肉馅
rzyj,1=肉眼
rzyu,1=肉欲
rzyz,1=荣宗耀祖
rzzf,1=认贼作父
rzzm,1=蹂
saal,1=卅
saci,1=萨
sadj,1=撒旦
sadu,1=挲
sadw,1=潵
sadx,1=洒
safw,1=撒
sagj,1=靸
sahl,1=撒谎
sahr,1=撒欢
sajn,1=撒娇
sakd,1=撒开
salo,1=洒落
salw,1=洒泪
salx,1=飒
sann,1=撒尿
saom,1=脎
sapo,1=撒泼
saqi,1=撒气
sars,1=仨
sato,1=洒脱
satv,1=撒腿
saul,1=飒爽
sauv,1=洒水
sauz,1=撒手
sawh,1=撒网
saxx,1=洒下
saye,1=撒野
sbbb,1=三步并作两步
sbda,1=斯巴达
sbdc,1=三班倒
sbdk,1=斯巴达克
sbdy,1=随波荡漾
sbhg,1=死不悔改
sbho,1=三把火
sbji,1=所不及
sbkn,1=俗不可耐
sblh,1=三百六十行
sbmm,1=死不瞑目
sbni,1=随便你
sbqu,1=三部曲
sbsr,1=算不算
sbuh,1=算不上
sbvj,1=损兵折将
sbvl,1=随波逐流
sbxl,1=四不像
sbxu,1=素不相识
sbyk,1=色不异空
sbyr,1=虽败犹荣
sbyu,1=三步一岗，五步一哨
sbyy,1=散兵游勇
sbzi,1=腮帮子
sbzx,1=死不足惜
scba,1=扫把
scbi,1=瘙
scbl,1=色彩斑斓
scbu,1=三寸不烂之舌
scdh,1=扫荡
scdi,1=扫地
scds,1=骚动
scfe,1=扫
scfi,1=搔
scgo,1=扫过
schl,1=扫黄
scho,1=骚货
sciu,1=扫除
scjl,1=三寸金莲
scke,1=骚客
sclr,1=骚乱
sclw,1=扫雷
scma,1=扫码
scmh,1=扫盲
scmi,1=骚
scmn,1=扫描
scmo,1=梢
scmu,1=扫墓
scny,1=嫂
scom,1=臊
scpk,1=扫平
scrc,1=骚扰
scsc,1=嫂嫂
scsd,1=三从四德
scsg,1=缫
scsm,1=缲
sctj,1=埽
sctz,1=搔头
scue,1=扫射
scui,1=扫视
scvu,1=三寸之舌
scvz,1=扫帚
scww,1=扫尾
scxk,1=扫兴
scxu,1=似曾相识
sczi,1=嫂子
sdax,1=鳃
sdbr,1=赛
sdbt,1=色胆包天
sdbw,1=塞北
sddc,1=赛道
sddr,1=赛段
sdfd,1=似懂非懂
sdfm,1=四大发明
sdgm,1=斯德哥尔摩
sdgo,1=赛过
sdgw,1=塞给
sdhz,1=赛后
sdie,1=赛车
sdig,1=赛程
sdih,1=赛场
sdim,1=扫地出门
sdjb,1=塞进
sdji,1=赛季
sdjk,1=四大皆空
sdjl,1=三等奖
sdkl,1=赛况
sdkt,1=噻
sdle,1=死定了
sdlq,1=随大流
sdlt,1=死到临头
sdma,1=赛马
sdmj,1=塞满
sdmv,1=四大名著
sdox,1=腮
sdpc,1=赛跑
sdqi,1=赛期
sdqm,1=赛前
sdqs,1=死得其所
sdqu,1=赛区
sdtk,1=赛艇
sdtx,1=思
sdtz,1=死对头
sduh,1=塞上
sdui,1=赛事
sduj,1=锁定胜局
sduv,1=所得税
sdvi,1=赛制
sdvu,1=僧多粥少
sdwd,1=塞外
sdwf,1=赛文
sdxx,1=私底下
sdya,1=塞牙
sdyh,1=赛扬
sdyi,1=搔到痒处
sdzi,1=塞子
sebj,1=色斑
sebt,1=塞
secd,1=色彩
sedb,1=色
sedd,1=色带
sedj,1=色胆
sedn,1=色调
sedv,1=涩
sedx,1=㴔
sefu,1=死而复生
segv,1=色鬼
sehk,1=穑
sehy,1=死而后已
seia,1=色差
sejb,1=铯
sela,1=色拉
selh,1=色狼
semh,1=色盲
semi,1=色迷
semo,1=色魔
seqk,1=色情
sero,1=色弱
sese,1=瑟瑟
seso,1=瑟缩
sesu,1=色素
seuk,1=色衰
sewb,1=璱
sewd,1=萨尔瓦多
sewh,1=死而无憾
seww,1=涩味
sewy,1=塞尔维亚
sexl,1=色相
seyu,1=色欲
seyz,1=色诱
seze,1=色泽
sfeq,1=随风而去
sfeu,1=随风而逝
sfju,1=司法局
sflb,1=森林
sfmm,1=森
sfqm,1=私房钱
sfqy,1=随风潜入夜
sfsc,1=三番四次
sfsf,1=森森
sfsx,1=送佛送到西
sftm,1=三伏天
sfvd,1=随风转舵
sfve,1=三分之二
sfvs,1=三分钟
sfvy,1=三分之一
sfwc,1=三番五次
sfwl,1=四分五裂
sfxg,1=三分像人，七分像鬼
sfyj,1=森严
sgby,1=三更半夜
sgdc,1=僧道
sgdl,1=三国鼎立
sgdu,1=三个多小时
sgdv,1=三个多钟
sgdy,1=三个多月
sgfs,1=损公肥私
sghi,1=三个和尚没水吃
sgij,1=三个臭皮匠
sgld,1=苏格拉底
sglj,1=苏格兰
sglp,1=三姑六婆
sglv,1=僧侣
sgml,1=三顾茅庐
sgni,1=僧尼
sgrf,1=僧人
sgro,1=僧
sgsu,1=僧俗
sgvi,1=三国志
sgvl,1=赛过诸葛亮
sgvs,1=僧众
sgvt,1=三个钟头
sgwi,1=三纲五常
sgxq,1=三个星期
sgxu,1=三个小时
sgyt,1=四个月
sgyy,1=三国演义
sgzi,1=四个字
shbx,1=死活不信
shcj,1=桑蚕
shdj,1=丧胆
shfm,1=搡
shfr,1=死灰复燃
shjl,1=松花江
shju,1=随行就市
shkm,1=嗓
shla,1=撒哈拉
shli,1=丧礼
shmf,1=嗓门
shmk,1=丧命
shna,1=桑拿
shou,1=丧偶
shqi,1=丧气
shqp,1=三魂七魄
shsu,1=四环素
shsy,1=岁寒三友
shtm,1=桑田
shts,1=死胡同
shuf,1=桑葚
shug,1=丧生
shuh,1=索贿受贿
shui,1=丧失
shum,1=磉
shun,1=丧
shuo,1=俗话说
shup,1=四海升平
shuu,1=桑树
shvd,1=四海之内皆兄弟
shvs,1=丧钟
shwd,1=三皇五帝
shwj,1=四海为家
shws,1=三呼万岁
shyb,1=嗓音
shye,1=桑叶
shyj,1=四海一家
shym,1=桑
shyr,1=颡
shzh,1=丧葬
shzi,1=嗓子
siae,1=兕
siay,1=肆
sibd,1=四百
sibf,1=私奔
sibi,1=撕逼
sibj,1=死板
sibm,1=思辨
sich,1=私藏
sici,1=四次
sicy,1=思忖
sida,1=厮打
sidb,1=死
sidd,1=丝带
side,1=泗
sidh,1=死党
sidi,1=死敌
sidj,1=澌
sidn,1=死掉
sids,1=汜
sidu,1=涘
sidx,1=四川大学
siek,1=㟃
sifa,1=司法
siff,1=私分
sifh,1=四方
sifj,1=撕
sifu,1=私服
sigd,1=搜肠刮肚
sige,1=四个
sigl,1=死光
sigu,1=四顾
sigv,1=死鬼
sigx,1=丝瓜
sihc,1=丝毫
sihd,1=四海
sihj,1=嘶喊
siho,1=死活
sihr,1=死缓
sihs,1=私
sihu,1=似乎
sihv,1=撕毁
sihy,1=厮混
sihz,1=死后
siic,1=思潮
siid,1=厕
siie,1=撕扯
siij,1=蛳
siir,1=四川
siiu,1=四处
siiy,1=思春
siiz,1=丝绸
siji,1=司机
sijn,1=死角
sijp,1=死结
siju,1=死局
sijx,1=私家
sika,1=咝
sikc,1=思考
sikd,1=撕开
sike,1=四
sikj,1=随处可见
sikk,1=嗣
siks,1=咝
silb,1=四邻
silc,1=死牢
sild,1=三长两短
sile,1=死了
sili,1=私立
silk,1=司令
sill,1=思量
siln,1=私聊
silp,1=撕裂
silq,1=四六
silu,1=思路
silv,1=思虑
sily,1=四轮
sima,1=司马
sime,1=驷
simk,1=死命
simm,1=四面
simn,1=寺庙
simu,1=私募
simx,1=楒
sinj,1=死难
sinm,1=思念
sinr,1=姒
sint,1=肆虐
sipj,1=虒
sipn,1=撕票
sipo,1=撕破
sips,1=祀
siqf,1=思潮起伏
siqj,1=斯
siqm,1=四千
siqq,1=死囚
siqu,1=死去
sirf,1=私人
sirk,1=伺
sirl,1=食
sirr,1=似
siru,1=俟
sirx,1=偲
sisi,1=死死
sisn,1=鸶
siso,1=思索
sisv,1=四岁
sisx,1=缌
sitc,1=寺
sitm,1=四天
sits,1=私通
situ,1=司徒
sitx,1=思
sity,1=私吞
siua,1=厮杀
siue,1=四射
siuf,1=死神
siug,1=四川省
siuh,1=死伤
siui,1=四十
siuk,1=饲
siuu,1=私塾
siuv,1=死水
siuz,1=死守
siva,1=丝
sivd,1=私宅
sive,1=死者
sivi,1=四肢
sivk,1=笥
sivl,1=丝绸之路
sivn,1=鸶
sivv,1=巳
sivz,1=四周
siwa,1=丝袜
siwf,1=斯文
siwh,1=死亡
siwj,1=四万
siwu,1=四五
siww,1=思维
sixb,1=死心
sixk,1=死刑
sixl,1=思想
sixt,1=死穴
sixu,1=思绪
sixx,1=私下
sixy,1=死讯
siya,1=嘶哑
siyb,1=死因
siyc,1=撕咬
siyh,1=饲养
siyi,1=肆意
siyk,1=私营
siyr,1=寺院
siys,1=私用
siyt,1=四月
siyu,1=死于
siyz,1=私有
sizd,1=死在
sizi,1=私自
sizo,1=四座
sizv,1=死罪
sjae,1=三
sjba,1=三八
sjbd,1=三百
sjbf,1=三本
sjbm,1=三遍
sjbo,1=散播
sjbu,1=散步
sjcd,1=私家菜
sjci,1=三次
sjcw,1=散
sjda,1=散打
sjdd,1=三代
sjdm,1=三点
sjdu,1=四季度
sjfa,1=散发
sjff,1=三分
sjge,1=三个
sjgg,1=三更
sjgo,1=三国
sjhe,1=三盒
sjhh,1=三句话不离本行
sjho,1=散伙
sjhu,1=散户
sjhv,1=散会
sjhx,1=三句话
sjih,1=散场
sjit,1=四脚朝天
sjjd,1=所见即所得
sjji,1=三级
sjjl,1=三教九流
sjjn,1=三角
sjjq,1=三九
sjjx,1=散架
sjkd,1=散开
sjle,1=散了
sjll,1=三两
sjlo,1=散落
sjlq,1=三流
sjlr,1=散乱
sjlt,1=所见略同
sjmf,1=三门
sjmj,1=散漫
sjmp,1=糁
sjmw,1=三枚
sjpd,1=三排
sjpf,1=三盆
sjpi,1=三匹
sjpj,1=三盘
sjpk,1=三瓶
sjpm,1=三篇
sjpw,1=三陪
sjqa,1=三聚氰胺
sjqi,1=三七
sjqk,1=三缄其口
sjqm,1=三千
sjqr,1=丧家犬
sjre,1=散热
sjrf,1=三人
sjri,1=四季如春
sjru,1=伞
sjsb,1=耸肩缩背
sjsd,1=随叫随到
sjsi,1=三思
sjsm,1=毵
sjss,1=叁
sjsv,1=三岁
sjsw,1=所见所闻
sjtc,1=三套
sjtl,1=丧尽天良
sjtm,1=三天
sjts,1=三通
sjui,1=三十
sjuw,1=馓
sjvh,1=三张
sjvl,1=散装
sjvq,1=丧家之犬
sjvs,1=三种
sjvz,1=三周
sjwf,1=散文
sjwj,1=三万
sjww,1=三围
sjxb,1=散心
sjxk,1=三星
sjxx,1=三峡
sjya,1=三亚
sjyb,1=随机应变
sjyh,1=散养
sjyt,1=三月
sjyx,1=送旧迎新
skjg,1=司空见惯
sksi,1=萨克斯
skti,1=思考题
skyu,1=随口一说
slba,1=算了吧
slbj,1=酸了吧唧
slfk,1=斯洛伐克
slgr,1=三连冠
slie,1=三轮车
sljd,1=三六九等
slke,1=斯洛克
slkq,1=松了口气
slla,1=塞拉利昂
sllk,1=斯里兰卡
sllq,1=酸溜溜
slmf,1=所罗门
slnj,1=苏里南
slnr,1=色厉内荏
slqd,1=四轮驱动
slqu,1=死里求生
slsj,1=耸了耸肩
slsr,1=算了算
sltu,1=死里逃生
slwu,1=三令五申
slwy,1=斯洛文尼亚
slxq,1=思来想去
slyq,1=松了一口气
slyr,1=司令员
slyt,1=死路一条
slzu,1=撒拉族
smbf,1=四面八方
smdy,1=死马当活马医
smig,1=四面楚歌
smjt,1=四目交投
smli,1=索马里
smmi,1=色眯眯
smni,1=岁末年初
smnv,1=驷马难追
smpu,1=素昧平生
smvi,1=三明治
smvx,1=司马昭之心
smxd,1=四目相对
smyi,1=扫描仪
snbv,1=三年不开张
snjb,1=死脑筋
snje,1=塞内加尔
snji,1=四年级
snke,1=斯诺克
snqy,1=三年清知府，十万雪花银
sobm,1=锁边
soci,1=所赐
socu,1=莎
socy,1=蓑
sodc,1=索道
sode,1=所得
sodk,1=锁定
sodn,1=娑
sodr,1=缩短
sodu,1=挲
sodx,1=溹
sofh,1=缩放
sofj,1=所犯
sogu,1=锁骨
soho,1=所获
sohr,1=索还
sohv,1=缩回
soig,1=所成
soiu,1=所处
sojb,1=缩进
sojm,1=缩减
sojr,1=锁
sojx,1=索价
soko,1=嗍
sokr,1=唢
soks,1=锁孔
sokw,1=唆
sokx,1=嗦
soll,1=缩量
solm,1=锁链
solp,1=所列
solt,1=缩略
somf,1=锁门
somu,1=桫
somw,1=梭
sona,1=唢呐
song,1=所能
soow,1=睃
sopj,1=所
sopk,1=锁屏
sopw,1=索赔
soqm,1=所欠
soqu,1=索取
sorj,1=索然
sosb,1=缩
sosv,1=琐碎
soti,1=所提
soto,1=所托
sotp,1=锁帖
sotz,1=缩头
soue,1=所设
souh,1=锁上
soui,1=琐事
souo,1=所说
souu,1=所属
souv,1=缩水
soux,1=索
souz,1=所受
sovh,1=所长
sovi,1=所致
sovu,1=锁住
sowf,1=所闻
sowr,1=琐
soww,1=所谓
soxk,1=索性
soxm,1=所限
soxn,1=缩小
soxp,1=缩写
soxt,1=所学
soxu,1=所需
soyb,1=索引
soyc,1=索要
soyi,1=所以
soyk,1=缩影
soyr,1=所愿
soyw,1=羧
soyz,1=所有
sozd,1=所在
sozi,1=梭子
sozo,1=所做
spbw,1=四平八稳
spll,1=死皮赖脸
splm,1=撕破脸
splp,1=撕破脸皮
spls,1=塞浦路斯
spnv,1=撒泡尿照照
sqbl,1=死乞白赖
sqdh,1=俗气得很
sqey,1=三七二十一
sqhl,1=死去活来
sqii,1=死气沉沉
sqkd,1=三七开
sqld,1=算起来
sqqn,1=死翘翘
sqrg,1=丧权辱国
sqsq,1=三妻四妾
sqxh,1=思前想后
sqyi,1=三缺一
srcd,1=酸菜
srco,1=算错
srcx,1=蒜
srdk,1=算定
srdu,1=酸度
srfa,1=算法
srgx,1=算卦
srhx,1=算话
srih,1=三人成虎
sriu,1=酸楚
sriz,1=酸臭
srji,1=算计
srku,1=酸苦
srla,1=酸辣
srld,1=算来
srle,1=算了
srlj,1=损人利己
srma,1=酸麻
srmk,1=算命
srmn,1=蒜苗
srnd,1=酸奶
srni,1=蒜泥
srpj,1=算盘
srqj,1=肃然起敬
srqw,1=狻
srqy,1=思如泉涌
srrr,1=酸软
srse,1=酸涩
srsh,1=色若死灰
srsr,1=算算
srtd,1=蒜薹
srtg,1=酸疼
srtm,1=酸甜
srts,1=酸痛
srtw,1=耸人听闻
srtz,1=蒜头
srua,1=算啥
srui,1=算是
sruu,1=算数
srvc,1=算
srvh,1=算账
srww,1=酸味
srxk,1=酸性
srxu,1=三人行，必有我师
sryu,1=酸雨
sryw,1=酸
srzc,1=酸枣
srzo,1=算作
ssbb,1=随随便便
ssbc,1=怂包
ssbd,1=松柏
ssbh,1=松绑
ssbm,1=宋
ssbp,1=送别
ssbr,1=颂
ssbt,1=四散奔逃
ssci,1=宋词
sscs,1=菘
ssda,1=送达
ssdc,1=送到
ssds,1=松动
ssdu,1=诵读
ssek,1=嵩
sses,1=崧
ssex,1=三思而行
ssfd,1=瑟瑟发抖
ssff,1=四四方方
ssfj,1=送饭
ssfy,1=㧐
ssge,1=颂歌
ssgu,1=送股
ssgw,1=送给
ssho,1=送货
sshr,1=送还
sshv,1=送回
sshx,1=送花
ssic,1=宋朝
ssii,1=松弛
ssiu,1=送出
ssjb,1=送进
ssjk,1=诵经
ssjm,1=送检
ssjn,1=送交
sskd,1=松开
sske,1=送客
sskk,1=松松垮垮
sskz,1=松口
sslb,1=松林
ssld,1=送来
ssli,1=送礼
ssll,1=三三两两
sslu,1=松露
ssmk,1=送命
ssms,1=松
ssmu,1=松木
ssnn,1=岁岁年年
ssnt,1=岁岁年年人不同
ssnu,1=娀
ssqu,1=送去
ssre,1=耸
ssrf,1=送人
ssrj,1=悚然
ssrk,1=丝丝入扣
ssrr,1=松软
ssrs,1=松茸
ssrx,1=怂
sssi,1=送死
sssj,1=松散
sssv,1=三四岁
sssx,1=所思所想
sstc,1=松涛
ssti,1=宋体
ssto,1=松脱
ssuf,1=送审
ssuh,1=送上
ssui,1=三四十
ssuj,1=嵩山
ssuu,1=松鼠
ssuv,1=送水
ssuz,1=松手
ssvs,1=送终
ssxb,1=送信
ssxd,1=三岁小孩都知道
ssxh,1=三岁小孩
ssxk,1=送行
ssxl,1=松香
ssxp,1=松懈
ssxs,1=忪
ssxu,1=悚
ssyh,1=颂扬
ssyq,1=搜索引擎
ssys,1=怂恿
ssyu,1=虽死犹生
ssyy,1=诵
sszh,1=送葬
sszi,1=松子
sszt,1=送
sszz,1=送走
stbd,1=四通八达
stbq,1=四体不勤
stdw,1=三天打鱼，两天晒网
stdy,1=三天打鱼
stfx,1=斯坦福大学
stkl,1=酸甜苦辣
stkx,1=酸甜苦辣咸
stlb,1=三头六臂
stlt,1=三天两头
stlu,1=三条路
stsn,1=缩头缩脑
stsw,1=三天三夜说不完
suah,1=稣
subb,1=宿
subg,1=撒手不管
subh,1=四十不惑
subj,1=四时八节
subt,1=塑
subu,1=窣
sucb,1=苏
sucd,1=素材
sucj,1=素餐
sucr,1=蔌
sucv,1=酥脆
suda,1=苏打
sudi,1=速递
sudj,1=苏丹
sudo,1=溯
suds,1=速冻
sudu,1=速度
suef,1=似是而非
suel,1=三十而立
sueq,1=撒手而去
suer,1=塞舌尔
sufg,1=塑封
sufh,1=随声附和
sufu,1=素服
sufx,1=素
sugu,1=甦
suhh,1=苏杭
suho,1=私生活
suhv,1=速回
suhx,1=俗话
suia,1=速查
suig,1=俗称
suiz,1=宿仇
sujd,1=夙
suji,1=速记
sujk,1=肃静
sujn,1=塑胶
sujt,1=速决
sujx,1=俗家
suku,1=诉苦
sukx,1=嗉
suld,1=素来
suli,1=肃立
sulj,1=三十六计
sulm,1=苏联
suln,1=塑料
sulu,1=速录
sulv,1=速率
suma,1=酥麻
sumf,1=送上门
sumk,1=宿命
suml,1=送上门来
summ,1=素面
sumn,1=素描
sums,1=骕
sumu,1=肃穆
sunh,1=似水年华
sunl,1=随手拈来
sunm,1=俗念
sunv,1=私生女
sunz,1=搔首弄姿
suqi,1=俗气
suqq,1=诉求
surf,1=俗人
surh,1=撒手人寰
surj,1=肃然
surk,1=俗
surm,1=僳
surq,1=似水柔情
surr,1=酥软
surs,1=速溶
surx,1=傃
susd,1=随时随地
susj,1=缩手缩脚
susn,1=鹔
susr,1=速算
suss,1=诉讼
susu,1=速速
sutc,1=俗套
sutk,1=随身听
sutt,1=四世同堂
suua,1=肃杀
suue,1=宿舍
suuf,1=塑身
suui,1=素食
suuo,1=诉说
suuu,1=素数
suvd,1=肃
suvi,1=素质
suvr,1=簌
suvu,1=诉诸
suvz,1=苏州
suwd,1=碎尸万段
suwj,1=所剩无几
suwl,1=死水微澜
suwr,1=四舍五入
suwu,1=俗物
suxk,1=苏醒
suxl,1=塑像
suxm,1=素馅
suxn,1=速效
suxq,1=苏绣
suxs,1=酥胸
suxx,1=愫
suya,1=素雅
suyh,1=素养
suyi,1=诉
suyj,1=素颜
suyk,1=宿营
suyu,1=俗语
suyw,1=谡
suyx,1=三生有幸
suyz,1=素有
suzb,1=蹜
suzc,1=塑造
suzi,1=私生子
suzu,1=速
svbh,1=四肢百骸
svbi,1=随笔
svbm,1=随便
svbt,1=死猪不怕开水烫
svbu,1=碎步
svcn,1=荽
svcs,1=随从
svdc,1=隧道
svdf,1=濉
svdi,1=随地
svds,1=隧洞
svel,1=随之而来
sveo,1=隋
svex,1=岁
svez,1=隧
svfg,1=随风
svfh,1=随访
svfz,1=旞
svgj,1=随感
svgx,1=丝竹管弦
svgz,1=髓
svhc,1=虽好
svhe,1=随和
svhx,1=碎花
svhz,1=随后
svic,1=隋朝
sviu,1=随处
svix,1=祟
sviz,1=𫟦
svji,1=随机
svjl,1=三贞九烈
svjy,1=随军
svjz,1=𬭼
svki,1=虽
svkk,1=碎块
svkz,1=随口
svle,1=碎了
svlp,1=碎裂
svmo,1=岁末
svng,1=虽能
svni,1=随你
svof,1=睢
svot,1=眭
svpm,1=碎片
svpz,1=襚
svqu,1=三战全胜
svrj,1=虽然
svsj,1=速战速决
svsn,1=绥
svsv,1=岁岁
svth,1=隋唐
svts,1=随同
svuf,1=随身
svui,1=随时
svuo,1=虽说
svuu,1=岁数
svuz,1=随手
svve,1=随着
svvi,1=随之
svwl,1=四肢无力
svwu,1=虽无
svwz,1=璲
svxb,1=随心
svxk,1=随行
svxl,1=随想
svxp,1=碎屑
svyi,1=随意
svyr,1=随缘
svyt,1=岁月
svyu,1=谇
svyz,1=虽有
svze,1=虽则
svzh,1=随葬
svzu,1=邃
swdv,1=死无对证
swiq,1=三五成群
swjd,1=肆无忌惮
swks,1=孙悟空
swlv,1=死亡率
swqu,1=死无全尸
swsd,1=斯文扫地
swsv,1=四五岁
swui,1=四五十
swul,1=斯威士兰
swum,1=塞翁失马
swyc,1=算无遗策
swyl,1=送往迎来
swyt,1=三位一体
swzd,1=死无葬身之地
sxbg,1=死性不改
sxbk,1=丧心病狂
sxey,1=三心二意
sxfx,1=似笑非笑
sxji,1=四星级
sxjj,1=思想境界
sxjx,1=思想家
sxlf,1=撕心裂肺
sxli,1=私下里
sxpm,1=所向披靡
sxrk,1=思贤如渴
sxsy,1=随心所欲
sxtd,1=死心塌地
sxui,1=三小时
sxuu,1=私相授受
sxwd,1=所向无敌
sxwe,1=三下五除二
sxwq,1=思绪万千
sxww,1=色香味
sxxk,1=思想性
sxyj,1=死心眼
sxym,1=夙兴夜寐
sxzn,1=私心杂念
syal,1=死于安乐
